JSON_file,title,author,title_verified,author_verified,isbn
pg_1692.json,CALDER AN AUTOBIOGRAPHY,biograpgy,CALDER AN AUTOBIOGRAPHY,biograpgy,ISBN Not Found
pg_4016.json,COLLECTED POEMS OF THEODORE ROET,"Roethke, Theodore",COLLECTED POEMS OF THEODORE ROET,Theodore,ISBN Not Found
pg_4140.json,Incarnation,"Losang, Rato Khyongla Nawang",Incarnation,Rato Khyongla Nawang,1428642617
pg_1707.json,DUFY,R. Cogniat,DUFY,R. Cogniat,2906464074
pg_4031.json,SELECTED POEMS OF MAY SARTON,"Sarton, May",Selected poems of May Sarton,May Sarton,9781497689824
pg_1723.json,Excalibur k,Elsevier-Dutton,Excalibur k,Elsevier-Dutton,ISBN Not Found
pg_4045.json,,Lippencott,,Lippencott,ISBN Not Found
pg_1738.json,Peacock,"Nielson, K.",Peacock,Nielson,9780670763580
pg_4061.json,THE AMERICAN DREAM & THE ZOO STORY,"Albee, E.",THE AMERICAN DREAM & THE ZOO STORY,Albee,9781306717779
pg_1752.json,,Jean Selz,,Jean Selz,ISBN Not Found
pg_4076.json,STEIN GERTRUDE STEIN GERTRUDE STEIN paper,GERTRUDE,STEIN GERTRUDE STEIN GERTRUDE STEIN paper,GERTRUDE,ISBN Not Found
pg_1766.json,,"Reynolds, Graham",,Reynolds,ISBN Not Found
pg_4091.json,NINE PLAYS,"Neill, E.",NINE PLAYS,Neill,9995383160
pg_1782.json,ITALIAN PAINTERS OF THE RENAISSANCE,Bernard Berenson,The Italian painters of the Renaissance,Bernard Berenson,9780801491955
pg_4105.json,THE GLASS MENAGERIE,"Williams, Tennessee",The Glass Menagerie,Tennessee Williams,3140438141
pg_1797.json,THE APPRECIATION OF BYZANTINE ART,"Rice, David Talbot",The appreciation of Byzantine art,David Talbot Rice,9780192119223
pg_4136.json,RECORD OF BUDDHISTIC KINGDOMS,"Legge, James",A Record of Buddhistic Kingdoms,James Legge,9798636547808
pg_1703.json,,Michel Hoog,,Michel Hoog,ISBN Not Found
pg_4027.json,,HARVEST POEMS,,HARVEST POEMS,ISBN Not Found
pg_1717.json,Eric Young,St Martins Press,Eric Young,St Martins Press,ISBN Not Found
pg_1733.json,,Edouard Julien,,Edouard Julien,ISBN Not Found
pg_4057.json,THE FOEMS OF,"Wilbur, Richard",THE FOEMS OF,Richard,ISBN Not Found
pg_1748.json,,"Pyle, H.",,Pyle,ISBN Not Found
pg_4072.json,FIVE PLAYS,"Hughes, Langston",Five plays,Langston Hughes,1592240275
pg_1763.json,,Raymon Cogniat,,Raymon Cogniat,ISBN Not Found
pg_4087.json,Bookpeople,"Olson, Charles",Bookpeople,Charles,0872879534
pg_1779.json,calibur,,calibur,,1618628097
pg_4102.json,Three Plays,"Wilder, Thornton",Three Plays,Thornton Wilder,9780548017173
pg_1793.json,Tenguin,Pelican,Tenguin,Pelican,ISBN Not Found
pg_4116.json,BUDDHISM IN CHINA,"Ch'en, Kenneth",Buddhism in China,Kenneth Kuan Sheng Ch'en,1421930447
pg_4132.json,Hokuseido,Heian -,Hokuseido,Heian -,ISBN Not Found
pg_1699.json,BURNING LIGHTS,CHAGALL:,Burning lights,Bella Chagall,9780822589020
pg_4023.json,New Directions,POLAND/,New Directions,POLAND/,197550173X
pg_1729.json,THE DIARIES OF PAUL KLEE,"Klee, Paul","The diaries of Paul Klee, 1898-1918",Paul Klee,0520006534
pg_4053.json,SARA REASDALE Woman & Poet,"Drake, Wm.",SARA REASDALE Woman & Poet,Drake,ISBN Not Found
pg_1744.json,rinis,Bradley Smith,rinis,Bradley Smith,9789050060622
pg_1661.json,VISUAL THINKING,"Arnheim, Rudoff",VISUAL THINKING,Arnheim,9780367860349
pg_3340.json,CHRISTIANITY & CLASSICAL CULTURE,"Cochrane, Charles N.",CHRISTIANITY & CLASSICAL CULTURE,Charles N.,0006280870
pg_1957.json,MODERN MAN IN SEARCH OF A SOUL,"Jung, CG",MODERN MAN IN SEARCH OF A SOUL,Jung,9780156612067
pg_3235.json,"philosophy
THE TOYNBEE-IKEDA DIALOGUE",Harper & Row,"philosophy
THE TOYNBEE-IKEDA DIALOGUE",Harper & Row,ISBN Not Found
pg_1853.json,EGYPTIAN HIEROGLYPIC DICTIONARY Vol 2,Anct. Egypt,EGYPTIAN HIEROGLYPIC DICTIONARY Vol 2,Anct. Egypt,ISBN Not Found
pg_1670.json,,"Black, Max",,Black,ISBN Not Found
